site_id,site_name,latitude,longitude,elevation_m,state,temp_bias_c,temp_mae_c,temp_rmse_c,temp_corr,temp_n_days,prec_bias_mm,prec_mae_mm,prec_total_bias_pct,prec_cw3e_total_mm,prec_snotel_total_mm,prec_n_days,bias_category
301:CA:SNTL,Adin Mtn,41.23583,-120.79192,1886.712,CA,0.9772246846348666,1.3720668310496908,1.7458924085358913,0.982408320897165,364.0,-0.3197968657534246,1.1555942356164384,-16.06820329277021,609.714144,726.4399999999999,365.0,PRECIP_BIAS_ONLY
907:UT:SNTL,Agua Canyon,37.52217,-112.27118,2712.7200000000003,UT,,,,,,-0.32335850958904105,1.0714314301369863,-32.26866141732283,247.73414400000001,365.76,365.0,PRECIP_BIAS_ONLY
916:MT:SNTL,Albro Lake,45.59723,-111.95902,2529.84,MT,-1.5521279196734936,2.0619366427328654,2.633982824160461,0.9726633322659842,365.0,-1.759727912328767,2.2295292273972604,-72.87443418275885,239.07931200000002,881.3799999999999,365.0,BOTH_BIASES
908:WA:SNTL,Alpine Meadows,47.77957,-121.69847,1066.8,WA,-0.19016544210741504,1.140164398280531,1.4420644749205385,0.9725952615180821,363.0,-1.2347657753424655,4.5283848219178084,-15.283101995971418,2498.250492,2948.9399999999996,365.0,PRECIP_BIAS_ONLY
302:OR:SNTL,Aneroid Lake #2,45.21328,-117.19258,2255.52,OR,1.0330106287443148,1.7394394576164471,2.201372425912365,0.9706501206134375,365.0,-0.3924357369863013,2.1847361424657534,-13.721003505948612,900.7009559999999,1043.9399999999998,365.0,BOTH_BIASES
1000:OR:SNTL,Annie Springs,42.87007,-122.16518,1831.8480000000002,OR,0.15671570394919812,1.142946527619048,1.4473533813153472,0.9812775191406362,364.0,-0.5646072547945203,2.3324371726027398,-12.981521133858262,1381.418352,1587.4999999999998,365.0,PRECIP_BIAS_ONLY
303:CO:SNTL,Apishapa,37.33067,-105.06766,3056.2296,CO,0.6559931181875799,1.6852944145443136,2.066320073820243,0.9677631520953501,363.0,-0.39935341369863003,1.6183122739726026,-20.065524475524477,580.676004,726.44,365.0,PRECIP_BIAS_ONLY
1030:CO:SNTL,Arapaho Ridge,40.35098,-106.38141,3345.4848,CO,0.28771500040291526,1.3149134479235587,1.6884530322741136,0.9836713750175433,363.0,-0.5883348821917809,1.9660016219178083,-23.484496062992122,699.657768,914.4,365.0,PRECIP_BIAS_ONLY
304:OR:SNTL,Arbuckle Mtn,45.19085,-119.25392,1758.6960000000001,OR,0.5333369468750226,1.3739658020787595,1.7142034767940333,0.9797336744173891,364.0,-0.4700923726027396,1.6973751123287668,-22.294602011382224,598.036284,769.6199999999999,365.0,PRECIP_BIAS_ONLY
305:CO:SNTL,Arrow,39.9155,-105.76083,2950.464,CO,-0.2865356363684546,1.5636044048748612,2.2262150529925653,0.9705747626148352,313.0,,,,,,,LOW_BIAS
